time,taxa,connectance,mean_normalized_degree,sd_normalized_in_degree,sd_normalized_out_degree,mean_tl_std,max_tl_std,soi_std,size,diameter,mean_norm_btw,norm_mot_lin,norm_mot_omn,norm_mot_ap_comp,norm_mot_dir_comp
1,48,0.12760416666666666,0.13031914893617022,0.1970973496203287,0.10575869338321665,2.274889537919312,3.28396868552147,1.3761997994340043,48,4,0.0010310669133518347,0.16102430555555555,0.18229166666666666,0.8697916666666666,0.3537326388888889
2,21,0.18820861678004536,0.1976190476190476,0.23530628469942663,0.14184162865339506,2.3208215946311195,3.5102212602212597,1.0348581978848144,21,3,0.004636591478696741,0.2698412698412698,0.20634920634920634,0.3764172335600907,0.17687074829931973
3,29,0.1450653983353151,0.1502463054187192,0.20256628651454106,0.14137603072990912,2.2683591723000367,3.506081220366914,0.9932062930145261,29,3,0.0018700966976829046,0.21046373365041618,0.19500594530321047,0.4233055885850178,0.2473246135552913
4,45,0.14469135802469135,0.147979797979798,0.18969397721611894,0.10949286980564221,2.3736252299238085,3.6602306995946696,1.919400779273226,45,3,0.0027484143763213532,0.24592592592592594,0.23358024691358026,0.7022222222222222,0.3298765432098765
